collection_id,collection_id2,collection_name,mms_id,title,uri,url,handle
81268064900002100,81284603320002100,MGSM Case Studies In Management Collection; Macquarie University authors,99245209346302171,"Strategic alliances for world competitiveness : the case of GPC Electronics / Catherine P. Killen, Robert Hunt... [et al.]. [electronic resource]",http://hdl.handle.net/1959.14/4145,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209346302171,1959.14/4145
81268064900002100,81284603320002100,MGSM Case Studies In Management Collection; Macquarie University authors,99245209346502171,Culturecom Hong Kong  : building an alternative to Wintel IT systems in greater China / John A. Mathews.,http://hdl.handle.net/1959.14/96856,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209346502171,1959.14/96856
81268064900002100,81284603320002100,MGSM Case Studies In Management Collection; Macquarie University authors,99245209346902171,Cobento biotech  : birth of a Danish biotech company / John A. Mathews and Poul H. Andersen.,http://hdl.handle.net/1959.14/95972,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209346902171,1959.14/95972
81268064900002100,81284603320002100,MGSM Case Studies In Management Collection; Macquarie University authors,99245209347402171,Operations and crime reviews in the New South Wales Police Service : an analysis of their effectiveness / Ed Davis. [electronic resource],http://hdl.handle.net/1959.14/4156,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209347402171,1959.14/4156
81268064900002100,81284603320002100,MGSM Case Studies In Management Collection; Macquarie University authors,99245209348202171,"CRM at Suntel, Sri Lanka / Niroshini Fernando and Francis Buttle. [electronic resource]",http://hdl.handle.net/1959.14/4167,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209348202171,1959.14/4167
81268064900002100,81284603320002100,MGSM Case Studies In Management Collection; Macquarie University authors,99245209348302171,"The birth of the biotechnology era : penicillin in Australia, 1943-1980 / John A. Mathews. [electronic resource]",http://hdl.handle.net/1959.14/4178,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209348302171,1959.14/4178
81268064900002100,81284603320002100,MGSM Case Studies In Management Collection; Macquarie University authors,99245209348402171,"Proteome Systems Ltd : a Macquarie life-sciences spinoff / John A. Mathews, Ramon del Carmen. [electronic resource]",http://hdl.handle.net/1959.14/4135,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209348402171,1959.14/4135
81268064900002100,81284603330002100,MGSM Working Papers In Management Collection; Macquarie University authors,99245209348502171,Managerial attitudes toward stakeholder salience within selected western Pacific-rim economies / Lorne S. Cummings & James Guthrie.,http://hdl.handle.net/1959.14/96025,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209348502171,1959.14/96025
81268064900002100,81284603330002100,MGSM Working Papers In Management Collection; Macquarie University authors,99245209348602171,CRM software in Australia  : marketing applications and profit impact / Lawrence Ang and Francis Buttle.,http://hdl.handle.net/1959.14/97248,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209348602171,1959.14/97248
81268064900002100,81284603330002100,MGSM Working Papers In Management Collection; Macquarie University authors,99245209348702171,IT service continuity assessment / Ernest Jordan.,http://hdl.handle.net/1959.14/97209,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209348702171,1959.14/97209
